recipient,amount
Gd33fENP1XsBimff41s1EWrs2kmqfGQqEJ5CQPQB3Jwy,45265873003625
HzNwDXpszprUUVvxPtiQMV44C9Has24HEBpPRoG4gg1T,29819060192212
3RbsAuNknCTXuLyqmasnvYRpQg3MfWZ5N7WTi7ZGqdms,80878347809847
8vwn3wRePwXh7ZZExhsVSpzagnhp9nWrGJ4QEe8bXyQN,30026741032202
7Ca8uCuhYZcN1HYYUi9iV2VRzB2taE6Yhn6wepAKQ4fT,32857396849691
CptNqx18G3PjTz2dEq8GyU6TtTGfd31TE87mH6y5cRHT,36090160054056
2rpVTtLo8TfKv5NAJenuYXUfHvGCfQUn1RstiLr4aUak,2576025624404
E5xhAhxYd4kHMRMshgqavu8S1vx21fuYwu9QXusC29oE,4063055930127
2npYpAQcNWcZo85eB43DnSMyeeVCiks7g65YaWVKp8TX,4959997717120
F1hHyCzyy4SiUiCTNm2QvfytBLxM6XzyQVELfqFgM7G2,3692227121226
FaHURG5sdNdHrJAfbbqYt6ngG5C1XakpVPkp1LT8tSoz,2556153583380
ALExMyZvVZQmVbKJSVDufcHCkxxA5byPBZcrAiJa6ctE,21995652976457
HUX9ouTwpNGCqN9hEgzv1KkvQyJjb6pCuyYw5WCifWzM,29806338941986
CwAU4WGyvu79nTk95JTZ7G27C8HNsE8DbCxMHPPXqREk,2991452682527
3hsiTfAvGGPxUdrEoaKfdju7Jypm6YDLFZcZ6dJXGvmT,29801429256001
CuQE7wne6uCd99GUMaKTicJLh12eqmtzosF4Vs9vYSUT,864281909209
rRjnxfJ1jYofvPKaVHpSvhgtHZ3GuUqWczzgfFd1wDW,60027688641416
4Yr8jy3Gcwz3pkbsoiJmmHvytxenRoTawoVbr69knj1C,29798342078173
Av8EnYrPBnSJHK5e2wmTdnCpSy7nzmBgyFaUKSyLnBfe,30772434509083
3KNGMiXwhy2CAWVNpLoUt25sNngFnX1mZpaiEeVccBA6,38369882121282
ECNnK4VjcKTsABiw8FAp3JCE6tCmYyrEJthYVyMazmxi,237432876250815
3kiyzZdvgkxhkef8v8cgbWe7JJ6a7NyNDpXMPnEUpb7x,42806403260389
DrifTrN923QaouP89UxkQzFGbumKPCnfkNYQRwmZxatz,103506426586195
8KWzT7D9AuZShQEKdSUNYJXMXKugRvWDK5ctWBT1yE7y,3328512186550
74NLx5y1Fo1kXXs9ATMPM1beCqRVw4d4zU2htktWQoCi,212424895945427
HM1kYnrdVxTFi885aQznhECLhsvBD6LZGS3ak8BP1d7u,12507086719
HhM6tXD1SxKePVbos3t39BtTijx4sUf5eTLK3JqcNqqB,3779270283156
FJDmjm2bkR49AxtBvABQphrYwjdjB54BP4XCW7ht4E4M,35605285496391
EnizqkyVhbnMiQLwECv3fXydJvkoFzMjrdVtdpFWxNQt,37288341564238
3hsuKJMFf8WrLfihsJPeLX3FdJF2nQu3iJr45pQux8Jy,3115156272409
5gYoQH651psGZQMVoW6Suvwsz1GNhbQgN4NXYKqd6d4Q,36175877898441
6cgNsURNykJ8H7eLQu7XbLZCAc2yrCFgkfWaEWHYHXDb,72180571313427
6ii4ZAStxQtixJ18eryQxdBLKYyesPJZjGFqSLuHRBbL,106213372211
9skzpyERtgt8MXN8rXbWvtbHgYARJxsKXKzce6QxDcA9,11762997391654
RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz,403488264257592
6gL3uHvuUjaPp9mTBf2VZ4tpKiYhbWyPrAPboGByzEHd,36329749212110
79MeHzaMahBpgCZXHSzu7ukAd7YD59ZLn6VJ3Mb7Vur,41416268044549
Cq3GbqG7Hw7m9gsj6gip2XfrJQwn7YhGo1kUAnZqZiAe,2544529495636
Bs1AYgU6v6MiKivhpNpHnU9VePJAfdeC1yC3FuRaBWNa,40910151300494
ChaossRPGKnsVhX1GfPC78yq5Sqju4cMThcAsKZNz5d6,12210194894579
FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2,162122557446696
EVvkB3QgKsHZ2Tj9GTnQ8mQZJUFmRTkH31g9KEmQ8A62,36289387984826
9gJT69qJUibNmfnAPBgsqSmLqVxc3kxXpw1Vk7APDrso,8076015449649
FniyXWNu3EXWX9fXubLpFcDJ4h4T8VDCJEXCwVY2wFRh,31191480112602
GXbz6pX6TKWv3XhQYpjJt2hg9Jjo1wZ2r7coV7AeK42f,35198543750606
GwHH8ciFhR8vejWCqmg8FWZUCNtubPY2esALvy5tBvji,46481102835085
H68e2XUdXK3j8ibFv61VymvHn6AEhHPHLZSmbbQnZp1M,32448631682584
524nvr3JESQpYq5UUD7QMkpuDMg8TyyJBGr5m47jWZfe,2871056383883188
5fxyp8GDtGWcesu6R42pjFdBhXrwNJ3xyZXnKWTfNLAe,5028675980975
J2obR2DK7gnd6H88HjKzEYuMyboDWRNpbzwmGSh31nnu,35191088737278
XkCriyrNwS3G4rzAXtG5B1nnvb5Ka1JtCku93VqeKAr,2617323845578603
DDMM7C218XeNSDqw8us9szA1Ss92Ag7EJE9rGEz8Qtdo,4264530719472
AaapDdocMdZQaMAF1gXqKX2ixd7YYSxTpKHMcsbcF318,1070528398402629
rRLKNqoVbxSfff2FWjXuEjEkHKMscbhYe6vAQfsBJuB,38145163143707
woJhJEATD57sEhxCSQri5FvVAv4qgzobNspqXyfSLBV,30662796146561
TiMxX1yasS4CiGyRcnn7sy9T2fvaNdFpkf8tFDhhDkG,274174638460433
ABNRHvGzcjiNnUz3wfqH99Lp6Sjn3X9nH7Hq6hihKJtZ,2630502338777
3UvHZSXR9TkRgtKfaeRH17GaiWtCzujVmXK3K1eYZRyg,35214576046393
Hz5aLvpKScNWoe9YZWxBLrQA3qzHJivBGtfciMekk8m5,4926331625593602
3MVdbyD3niYjAj1uskREY5UsxqNj4nvPHn8fCMahdM71,3005805087
CAN9K3yvj96kpP8hVJvf77ATPHFhEMumqPrutRebXVDi,225550492454740
H9tyjuRBWRLZpcdLshgTTzcbw2Jbn6jntiiJ9bCpm4cQ,5076716088477
STA5dMZHibCkLtWGXmEADpdkR8VRkGTJf1gTSMyJ1YU,62749437691564
3qmEGZpEUFYxXiLU5CZjSaUy2X28oV51qVLenKEutYDe,40301264919700
81kscpE2MDaQY5SwgYaLZqTBNA7GDz63KogmPQwVKUka,38900670264802
UPSCQNqdbiaqrQou9X9y8mr43ZHzvoNpKC26Mo7GubF,2079478513687578
GTvgGVZo78Gtx5CgoKRFNEiD3tLmEPXMHvVnZ3qXSsmx,5067832881675
Gu5DTnjhPYCt89gsMAtTYzEqs2WUKkGUmTGV8BHbwXaT,2654949941573
8c9dYBdnCy5446dbf23ZyenuJRSDqATCXN6DXgKGErLw,43807540330437
J3q6kWN5AREqEktDaAhLQuECcgGhuoFFZV3g6BHdsroZ,32627689145008
BPRXGzuzoyfzJG254m55rUMEJMgk585w8XaaFSr7xi3k,2337691981885
